ResSvcID,ResID,RoomNumber,SvcID,DateTime,ChargeID
60,76,325,3,2017-10-21 13:40:08,2
61,732,532,2,2017-11-02 08:09:06,2
62,761,155,3,2017-10-22 17:14:07,2
63,550,544,5,2017-11-08 01:14:29,2
64,268,216,1,2017-10-26 02:31:10,2
65,898,300,5,2017-10-29 15:16:32,2
66,441,110,4,2017-11-11 17:28:15,2
67,719,193,3,2017-10-18 23:24:16,2
68,64,334,1,2017-10-30 15:39:47,2
69,268,216,5,2017-10-26 02:02:45,2
70,891,283,4,2017-11-14 09:15:24,2
71,453,444,1,2017-11-04 02:57:57,2
72,383,252,4,2017-10-29 15:04:30,2
73,950,411,2,2017-11-07 00:38:54,2
74,465,111,5,2017-10-25 23:39:32,2
75,625,434,5,2017-11-02 14:00:00,2
76,262,296,1,2017-11-08 12:19:37,2
77,577,137,4,2017-11-11 12:07:39,2
78,411,174,2,2017-11-12 11:49:53,2
79,820,526,1,2017-11-12 17:06:14,2
80,74,411,4,2017-10-29 23:21:29,2
81,889,131,3,2017-10-26 21:29:14,2
82,500,446,4,2017-10-24 01:13:02,2
83,62,118,2,2017-10-24 13:55:02,2
84,791,299,2,2017-11-01 13:02:39,2
85,142,500,2,2017-11-14 07:56:24,2
86,497,445,4,2017-10-27 23:13:02,2
87,765,298,3,2017-10-24 20:12:23,2
88,708,594,5,2017-11-08 21:39:21,2
89,195,506,1,2017-10-20 01:35:37,2
90,545,554,4,2017-11-04 06:43:06,2
91,568,259,4,2017-10-19 06:46:06,2
92,560,475,3,2017-10-23 12:42:00,2
93,582,309,2,2017-10-21 23:54:45,2
94,962,282,2,2017-10-30 05:44:23,2
95,852,527,2,2017-10-17 00:46:44,2
96,893,351,2,2017-11-03 17:27:52,2
97,566,163,2,2017-10-23 00:21:49,2
98,704,267,1,2017-10-30 13:40:18,2
99,495,595,1,2017-10-29 01:07:41,2
100,48,159,2,2017-11-06 21:04:38,2
101,364,573,3,2017-11-11 09:18:18,2
102,544,409,2,2017-10-19 08:06:53,2
103,350,333,4,2017-10-28 14:51:21,2
104,727,571,2,2017-10-27 22:33:29,2
105,289,182,1,2017-10-23 19:03:01,2
106,774,178,3,2017-11-11 12:17:54,2
107,347,142,1,2017-10-27 02:27:52,2
108,541,332,4,2017-10-27 01:48:16,2
109,313,314,3,2017-11-02 22:34:57,2
110,637,452,5,2017-10-27 05:26:07,2
111,688,392,1,2017-11-02 07:01:59,2
112,823,227,1,2017-11-04 01:35:10,2
113,964,464,4,2017-10-22 12:46:08,2
114,560,475,1,2017-10-24 23:12:44,2
115,781,428,2,2017-11-11 20:59:32,2
116,544,409,1,2017-10-18 14:11:40,2
117,621,538,1,2017-10-25 14:50:41,2
118,831,559,1,2017-10-18 08:24:32,2
119,752,256,5,2017-10-30 23:11:05,2
120,109,159,5,2017-10-24 02:43:00,2
121,436,119,1,2017-10-28 00:19:36,2
122,757,219,3,2017-11-12 13:21:26,2
123,503,581,2,2017-10-22 11:15:48,2
124,808,438,5,2017-10-31 13:07:16,2
125,852,527,3,2017-10-17 18:25:58,2
126,840,373,1,2017-11-03 09:40:04,2
127,629,131,2,2017-11-06 03:07:12,2
128,688,392,2,2017-11-06 19:48:44,2
129,700,562,4,2017-11-05 05:35:39,2
130,306,228,2,2017-10-19 09:52:21,2
131,970,332,1,2017-11-01 03:08:32,2
132,88,243,1,2017-10-29 01:30:16,2
133,234,459,5,2017-11-04 05:33:50,2
134,237,348,2,2017-11-13 00:37:56,2
135,513,186,5,2017-10-22 19:08:19,2
136,170,128,3,2017-10-27 01:37:54,2
137,140,306,3,2017-11-02 06:08:19,2
138,546,208,5,2017-11-20 06:39:06,2
139,426,586,1,2017-10-27 09:27:02,2
140,976,147,2,2017-11-13 03:07:16,2
141,157,101,1,2017-10-27 00:39:29,2
142,497,445,1,2017-10-28 07:04:38,2
143,194,534,5,2017-11-11 13:48:06,2
144,590,441,3,2017-11-15 00:01:21,2
145,642,382,1,2017-11-03 17:14:36,2
146,322,545,5,2017-10-23 18:25:55,2
147,383,252,5,2017-10-29 16:02:41,2
148,322,545,2,2017-10-22 12:16:20,2
149,260,572,2,2017-10-27 03:03:30,2
150,280,217,2,2017-10-23 01:17:35,2
151,120,548,2,2017-10-25 15:38:47,2
152,263,238,5,2017-11-07 06:42:54,2
153,978,344,1,2017-10-27 13:28:21,2
154,587,491,3,2017-11-06 11:39:16,2
155,617,512,2,2017-11-11 17:28:30,2
156,797,104,3,2017-10-25 02:39:32,2
157,406,352,2,2017-10-23 07:05:22,2
158,742,128,5,2017-11-08 03:39:33,2
159,922,194,4,2017-11-16 04:25:37,2
160,496,438,1,2017-11-13 07:19:00,2
161,763,177,2,2017-11-12 17:02:29,2
162,54,279,4,2017-10-17 20:40:12,2
163,121,126,4,2017-11-01 21:34:37,2
164,980,310,3,2017-11-10 22:23:20,2
165,6,303,1,2017-10-21 00:36:30,2
166,14,273,5,2017-11-10 02:06:40,2
167,663,268,2,2017-11-12 00:23:08,2
168,740,513,2,2017-11-08 19:01:17,2
169,754,469,4,2017-10-31 14:31:52,2
170,800,331,1,2017-11-06 06:01:47,2
171,650,502,5,2017-11-05 09:14:54,2
172,799,148,4,2017-10-21 23:08:30,2
173,284,475,4,2017-10-29 23:22:06,2
174,336,150,1,2017-10-29 06:42:02,2
175,748,386,1,2017-10-31 00:47:33,2
176,198,292,1,2017-11-13 18:25:08,2
177,704,267,5,2017-10-30 13:47:17,2
178,902,364,4,2017-11-09 15:26:36,2
179,800,331,1,2017-11-06 08:06:53,2
180,382,348,5,2017-10-22 15:48:11,2
181,233,337,3,2017-10-29 23:49:05,2
182,696,132,3,2017-10-22 21:08:31,2
183,463,134,5,2017-11-12 08:23:57,2
184,234,459,4,2017-11-02 23:17:08,2
185,230,212,4,2017-10-23 12:25:43,2
186,238,209,1,2017-11-08 07:39:36,2
187,510,210,1,2017-11-07 01:03:34,2
188,739,599,5,2017-10-25 22:17:04,2
189,781,428,2,2017-11-17 23:12:22,2
190,826,203,4,2017-10-23 02:17:36,2
191,670,157,2,2017-10-20 19:55:32,2
192,862,198,1,2017-10-26 17:24:09,2
193,582,309,2,2017-10-21 01:48:26,2
194,95,455,2,2017-10-23 06:00:38,2
195,121,126,5,2017-10-31 17:29:08,2
196,118,383,4,2017-11-04 00:42:05,2
197,880,133,4,2017-11-13 09:50:05,2
198,788,297,3,2017-11-03 22:43:17,2
199,944,513,1,2017-10-18 09:08:50,2
200,483,227,4,2017-11-02 18:32:47,2
201,627,131,4,2017-11-05 06:57:02,2
202,441,110,5,2017-11-11 12:11:29,2
203,141,123,4,2017-10-21 09:53:50,2
204,552,515,5,2017-11-02 12:03:12,2
205,800,331,5,2017-11-04 14:43:22,2
206,817,570,1,2017-11-10 12:17:24,2
207,332,598,5,2017-10-29 17:02:29,2
208,512,432,3,2017-10-28 04:23:36,2
209,750,257,1,2017-11-11 12:43:42,2
210,183,542,5,2017-11-03 15:32:22,2
211,497,445,5,2017-10-28 05:57:26,2
212,8,436,4,2017-11-09 00:35:50,2
213,915,521,1,2017-11-13 20:54:38,2
214,698,589,4,2017-10-28 18:50:01,2
215,794,476,5,2017-11-17 18:46:11,2
216,122,591,5,2017-11-12 23:53:04,2
217,518,553,2,2017-11-08 09:19:01,2
218,452,527,2,2017-11-07 22:26:36,2
219,445,157,3,2017-11-15 08:41:17,2
220,286,325,5,2017-11-03 23:17:45,2
221,16,408,1,2017-11-09 03:01:47,2
222,819,363,1,2017-11-03 13:52:38,2
223,27,212,5,2017-10-30 02:18:02,2
224,182,515,4,2017-10-28 15:06:59,2
225,590,441,3,2017-11-17 00:20:18,2
226,915,521,2,2017-11-13 13:25:00,2
227,191,226,5,2017-10-25 12:50:38,2
228,159,367,3,2017-11-11 16:55:20,2
229,88,243,3,2017-10-29 19:51:17,2
230,712,247,2,2017-11-04 19:12:59,2
231,757,219,2,2017-11-11 20:33:09,2
232,442,102,5,2017-11-11 17:52:30,2
233,990,586,3,2017-11-11 01:44:20,2
234,81,173,2,2017-10-19 00:50:05,2
235,610,110,5,2017-10-19 05:07:16,2
236,509,197,4,2017-11-07 21:24:26,2
237,283,480,1,2017-10-29 20:47:27,2
238,596,386,3,2017-10-20 17:55:39,2
239,535,302,3,2017-11-11 19:11:07,2
240,949,405,5,2017-10-31 00:06:10,2
241,823,227,1,2017-11-05 03:39:36,2
242,571,290,4,2017-11-09 16:32:40,2
243,815,217,3,2017-10-31 12:45:45,2
244,77,440,1,2017-11-02 01:31:37,2
245,44,267,3,2017-11-05 09:32:57,2
246,267,417,5,2017-10-31 13:36:34,2
247,395,323,2,2017-11-14 22:19:50,2
248,184,482,2,2017-11-02 04:28:06,2
249,854,532,1,2017-10-31 07:37:00,2
250,731,318,1,2017-10-25 23:45:22,2
251,379,143,4,2017-10-24 20:03:56,2
252,200,541,4,2017-10-23 20:18:09,2
253,83,177,2,2017-10-22 18:36:17,2
254,495,595,5,2017-10-29 12:42:00,2
255,930,558,5,2017-10-29 09:33:56,2
256,613,228,3,2017-11-14 17:24:59,2
257,637,452,1,2017-10-27 14:00:31,2
258,920,145,4,2017-10-20 11:36:28,2
259,138,250,1,2017-11-02 16:28:00,2
260,865,144,5,2017-11-03 05:22:27,2
261,771,193,4,2017-11-02 20:56:25,2
262,637,452,3,2017-10-24 03:51:17,2
263,610,110,1,2017-10-18 10:37:04,2
264,124,449,1,2017-10-21 02:32:56,2
265,179,455,1,2017-11-01 18:17:32,2
266,209,580,1,2017-11-03 21:06:43,2
267,743,425,5,2017-10-20 10:46:16,2
268,904,524,1,2017-10-22 06:16:38,2
269,281,247,4,2017-10-20 18:34:34,2
270,336,150,1,2017-10-28 08:41:38,2
271,490,267,3,2017-11-12 15:13:18,2
272,283,480,3,2017-10-29 05:21:20,2
273,697,228,1,2017-10-18 08:09:31,2
274,821,289,1,2017-10-22 10:24:31,2
275,499,240,2,2017-11-08 21:23:59,2
276,790,504,1,2017-10-18 17:00:55,2
277,256,488,3,2017-11-15 20:10:25,2
278,235,480,3,2017-10-31 14:29:34,2
279,677,508,5,2017-10-28 11:10:51,2
280,941,382,2,2017-11-12 21:42:39,2
281,100,147,3,2017-11-02 20:36:30,2
282,445,157,2,2017-11-17 17:11:33,2
283,915,521,3,2017-11-15 07:57:51,2
284,65,268,5,2017-11-03 06:03:38,2
285,394,330,4,2017-10-22 14:15:53,2
286,962,282,1,2017-10-30 22:29:18,2
287,752,256,1,2017-10-28 10:00:58,2
288,468,580,3,2017-11-04 06:54:14,2
289,6,303,3,2017-10-20 05:32:21,2
290,649,576,2,2017-11-01 12:22:28,2
291,754,469,2,2017-10-27 15:04:19,2
292,145,373,5,2017-10-19 23:21:51,2
293,758,596,3,2017-10-29 19:32:14,2
294,708,594,3,2017-11-12 19:22:32,2
295,594,393,5,2017-10-26 19:19:13,2
296,577,137,4,2017-11-09 11:24:56,2
297,847,553,1,2017-11-04 19:11:46,2
298,957,311,1,2017-10-23 16:47:48,2
299,646,465,2,2017-10-27 08:05:00,2
300,295,564,1,2017-11-01 03:25:35,2
301,206,330,5,2017-11-03 07:52:49,2
302,511,106,3,2017-10-27 19:36:40,2
303,120,548,5,2017-10-25 02:15:14,2
304,785,564,2,2017-10-19 16:37:30,2
305,523,225,1,2017-11-13 09:54:44,2
306,792,163,3,2017-11-08 21:11:02,2
307,947,173,3,2017-10-26 21:37:40,2
308,558,210,1,2017-11-03 14:53:43,2
309,998,555,3,2017-10-28 02:27:14,2
310,804,514,5,2017-10-18 00:29:15,2
311,392,253,2,2017-11-02 20:36:36,2
312,666,357,2,2017-11-11 21:10:38,2
313,676,258,2,2017-11-13 16:40:03,2
314,487,339,5,2017-10-17 07:12:30,2
315,361,573,2,2017-10-19 20:14:37,2
316,960,482,5,2017-10-24 10:16:12,2
317,688,392,5,2017-11-07 08:30:50,2
318,401,237,4,2017-11-07 03:20:47,2
319,28,227,2,2017-10-23 01:40:40,2
320,437,373,4,2017-10-24 10:00:51,2
321,23,172,5,2017-10-27 20:01:25,2
322,575,371,2,2017-10-26 03:10:00,2
323,910,203,3,2017-11-07 09:19:17,2
324,283,480,1,2017-10-29 08:32:46,2
325,786,443,1,2017-10-30 16:27:23,2
326,104,383,1,2017-11-13 05:03:53,2
327,884,495,1,2017-11-12 11:46:08,2
328,472,537,5,2017-11-15 18:25:18,2
329,71,509,3,2017-11-06 17:41:03,2
330,728,573,4,2017-10-18 21:30:57,2
331,843,362,1,2017-11-09 21:23:42,2
332,194,534,3,2017-11-10 02:20:35,2
333,630,156,3,2017-10-28 06:02:21,2
334,757,219,5,2017-11-11 18:07:35,2
335,123,183,4,2017-11-15 13:53:30,2
336,771,193,5,2017-11-07 16:34:29,2
337,594,393,3,2017-10-27 22:48:22,2
338,215,349,4,2017-11-04 03:14:55,2
339,220,401,2,2017-11-03 03:00:52,2
340,231,432,5,2017-10-29 15:40:59,2
341,503,581,4,2017-10-21 22:38:28,2
342,381,568,4,2017-11-08 05:12:52,2
343,365,483,5,2017-11-01 14:08:31,2
344,764,136,5,2017-11-11 14:36:32,2
345,930,558,4,2017-10-29 12:19:25,2
346,650,502,2,2017-11-05 14:21:25,2
347,573,383,2,2017-11-11 09:05:33,2
348,701,542,3,2017-10-25 20:23:46,2
349,958,413,4,2017-10-30 20:07:16,2
350,443,406,3,2017-10-27 22:25:06,2
351,918,523,5,2017-11-05 09:46:21,2
352,557,593,1,2017-11-13 16:05:10,2
353,708,594,1,2017-11-06 03:32:09,2
354,418,291,1,2017-10-31 11:04:08,2
355,960,482,2,2017-10-26 15:10:51,2
356,864,179,1,2017-11-09 05:52:56,2
357,445,157,3,2017-11-17 16:18:00,2
358,668,432,3,2017-11-03 18:45:13,2
359,194,534,5,2017-11-11 03:39:52,2
360,618,101,1,2017-10-20 04:15:10,2
361,320,319,3,2017-10-22 21:16:42,2
362,166,507,2,2017-11-11 05:17:43,2
363,142,500,3,2017-11-12 15:05:25,2
364,568,259,5,2017-10-17 20:02:10,2
365,678,148,5,2017-11-11 10:20:54,2
366,256,488,2,2017-11-14 14:08:59,2
367,373,425,5,2017-10-30 22:45:41,2
368,490,267,3,2017-11-16 06:26:37,2
369,738,550,3,2017-10-18 15:31:23,2
370,953,200,5,2017-10-20 00:14:39,2
371,424,529,2,2017-11-07 05:24:35,2
372,104,383,5,2017-11-12 08:54:33,2
373,468,580,1,2017-10-30 23:54:31,2
374,157,101,4,2017-10-27 22:23:21,2
375,286,325,1,2017-11-07 23:04:18,2
376,739,599,1,2017-10-24 00:41:21,2
377,563,249,2,2017-11-11 08:15:35,2
378,984,360,3,2017-10-19 00:47:10,2
379,276,390,2,2017-10-29 06:38:04,2
380,688,392,1,2017-11-06 05:21:51,2
381,457,175,5,2017-10-25 13:21:49,2
382,659,500,5,2017-11-03 13:46:57,2
383,218,490,2,2017-11-13 16:40:43,2
384,799,148,5,2017-10-23 11:15:05,2
385,654,148,4,2017-11-13 22:16:53,2
386,552,515,3,2017-11-01 00:12:09,2
387,321,217,3,2017-11-11 05:07:15,2
388,367,560,1,2017-11-09 00:02:13,2
389,860,216,4,2017-11-06 09:36:29,2
390,276,390,5,2017-10-31 03:14:28,2
391,685,485,1,2017-11-03 19:33:25,2
392,818,267,5,2017-11-07 07:16:34,2
393,51,282,4,2017-11-09 06:00:24,2
394,677,508,5,2017-10-28 01:25:18,2
395,709,398,3,2017-11-02 19:02:15,2
396,632,196,4,2017-10-22 13:15:09,2
397,507,408,1,2017-11-08 18:42:02,2
398,187,445,2,2017-10-19 20:52:25,2
399,520,420,1,2017-10-28 19:29:26,2
400,341,565,5,2017-11-06 00:31:11,2
401,111,331,3,2017-10-18 19:00:53,2
402,788,297,5,2017-11-03 22:26:47,2
403,505,318,2,2017-11-13 11:53:20,2
404,675,324,1,2017-10-24 17:35:54,2
405,139,572,4,2017-11-07 22:03:59,2
406,105,407,3,2017-10-30 05:08:04,2
407,62,118,2,2017-10-22 23:50:21,2
408,86,414,2,2017-11-04 11:44:46,2
409,478,239,2,2017-10-17 06:45:40,2
410,996,446,1,2017-10-25 17:35:25,2
411,593,304,2,2017-10-26 20:43:10,2
412,126,242,3,2017-11-05 10:28:38,2
413,291,229,4,2017-11-10 15:40:59,2
414,312,219,1,2017-10-24 22:08:51,2
415,565,382,4,2017-10-23 07:18:50,2
416,232,555,3,2017-11-05 09:50:41,2
417,384,415,4,2017-11-13 02:32:10,2
418,532,467,4,2017-11-04 03:40:25,2
419,355,535,4,2017-11-05 23:55:28,2
420,998,555,2,2017-10-28 04:12:16,2
421,223,146,1,2017-10-28 00:54:25,2
422,227,192,3,2017-11-10 22:27:23,2
423,698,589,5,2017-10-31 19:47:24,2
424,194,534,5,2017-11-12 01:59:57,2
425,497,445,1,2017-10-28 02:07:15,2
426,582,309,1,2017-10-24 04:35:58,2
427,350,333,2,2017-11-01 10:48:14,2
428,313,314,5,2017-11-03 01:10:38,2
429,109,159,4,2017-10-22 00:12:47,2
430,953,200,5,2017-10-19 17:22:04,2
431,273,195,1,2017-10-17 02:37:09,2
432,118,383,2,2017-11-09 12:34:33,2
433,559,281,4,2017-11-11 14:08:08,2
434,690,522,4,2017-11-06 16:52:44,2
435,341,565,5,2017-11-06 04:26:15,2
436,32,389,2,2017-11-08 08:54:28,2
437,107,481,1,2017-10-24 06:03:48,2
438,216,141,5,2017-10-28 15:11:47,2
439,434,162,1,2017-11-08 13:35:18,2
440,246,365,4,2017-10-30 11:06:04,2
441,754,469,5,2017-11-02 20:21:05,2
442,45,280,4,2017-10-17 13:14:57,2
443,22,467,1,2017-10-27 12:51:14,2
444,529,173,5,2017-11-03 16:22:40,2
445,335,338,5,2017-11-03 16:45:16,2
446,279,233,4,2017-11-08 17:34:37,2
447,591,345,2,2017-10-19 18:17:45,2
448,663,268,4,2017-11-15 23:02:03,2
449,280,217,4,2017-10-23 14:04:31,2
450,659,500,1,2017-11-04 05:53:49,2
451,558,210,1,2017-11-03 21:00:32,2
452,42,171,3,2017-10-27 16:17:29,2
453,822,385,1,2017-10-25 03:29:22,2
454,340,285,1,2017-10-25 00:19:47,2
455,125,449,4,2017-11-08 19:34:23,2
456,851,376,2,2017-11-08 15:22:26,2
457,127,284,1,2017-10-18 06:16:31,2
458,216,141,1,2017-10-29 11:28:11,2
459,689,153,1,2017-11-13 13:24:47,2
460,133,523,3,2017-10-25 06:03:45,2
461,392,253,5,2017-11-01 23:29:00,2
462,262,296,3,2017-11-07 03:49:33,2
463,149,517,4,2017-10-27 18:10:08,2
464,215,349,1,2017-11-05 06:53:53,2
465,236,191,4,2017-11-03 18:30:28,2
466,251,480,5,2017-10-23 00:41:26,2
467,573,383,2,2017-11-11 18:02:28,2
468,197,117,2,2017-11-05 16:56:47,2
469,738,550,1,2017-10-17 10:35:27,2
470,762,104,3,2017-11-06 11:42:26,2
471,612,281,1,2017-10-24 04:50:03,2
472,760,525,4,2017-11-07 00:30:04,2
473,80,296,5,2017-11-12 07:12:32,2
474,973,583,4,2017-10-27 03:47:13,2
475,122,591,5,2017-11-11 11:52:48,2
476,871,429,1,2017-11-02 11:42:21,2
477,297,425,2,2017-11-06 01:38:49,2
478,219,519,3,2017-11-09 08:24:24,2
479,969,147,5,2017-10-25 20:50:24,2
480,625,434,1,2017-11-03 05:40:43,2
481,845,191,1,2017-11-02 07:03:18,2
482,294,444,1,2017-10-25 21:10:08,2
483,734,317,1,2017-11-02 20:14:56,2
484,56,155,4,2017-10-25 23:35:51,2
485,43,564,5,2017-10-22 15:42:10,2
486,118,383,1,2017-11-04 00:49:16,2
487,874,455,3,2017-10-21 04:36:14,2
488,839,333,1,2017-11-10 23:07:34,2
489,623,534,3,2017-11-09 15:56:54,2
490,759,261,4,2017-11-09 12:22:37,2
491,545,554,5,2017-10-31 11:52:37,2
492,958,413,3,2017-10-30 15:37:42,2
493,905,484,3,2017-11-08 02:16:54,2
494,223,146,2,2017-10-27 11:22:51,2
495,668,432,3,2017-11-03 19:55:44,2
496,99,378,4,2017-10-19 09:10:11,2
497,375,284,5,2017-11-02 00:46:35,2
498,348,195,3,2017-11-04 14:38:40,2
499,313,314,5,2017-11-02 20:38:33,2
500,466,144,4,2017-10-24 06:39:42,2
501,78,308,5,2017-10-26 15:17:17,2
502,47,170,3,2017-11-18 09:04:36,2
503,527,266,2,2017-11-02 20:04:32,2
504,446,188,3,2017-11-14 23:27:15,2
505,286,325,3,2017-11-05 08:50:40,2
506,273,195,4,2017-10-18 21:50:20,2
507,351,485,4,2017-10-24 06:48:03,2
508,437,373,2,2017-10-24 03:57:53,2
509,366,299,2,2017-11-14 02:11:50,2
510,890,487,5,2017-10-26 17:59:21,2
511,860,216,3,2017-11-08 14:32:56,2
512,17,174,5,2017-11-13 19:14:05,2
513,420,142,1,2017-10-25 16:15:17,2
514,80,296,1,2017-11-12 05:59:16,2
515,171,547,1,2017-10-22 13:48:37,2
516,989,427,1,2017-11-13 00:21:06,2
517,998,555,4,2017-10-28 16:16:37,2
518,782,224,3,2017-10-26 20:20:25,2
519,87,103,5,2017-11-03 07:56:07,2
520,100,147,3,2017-11-02 05:53:43,2
521,226,487,2,2017-11-08 00:12:57,2
522,835,284,3,2017-10-30 18:19:40,2
523,414,174,1,2017-11-07 19:28:29,2
524,887,472,4,2017-11-04 12:01:22,2
525,813,563,2,2017-10-24 15:26:32,2
526,73,435,5,2017-11-02 15:57:43,2
527,491,340,3,2017-11-16 22:11:28,2
528,300,372,2,2017-11-12 21:18:02,2
529,920,145,4,2017-10-20 16:49:34,2
530,487,339,3,2017-10-18 21:30:15,2
531,773,548,1,2017-10-30 16:37:02,2
532,295,564,1,2017-11-06 05:26:31,2
533,261,478,1,2017-11-08 18:32:26,2
534,707,500,5,2017-10-19 19:30:34,2
535,464,154,4,2017-11-06 02:11:34,2
536,85,536,1,2017-10-23 19:02:39,2
537,790,504,4,2017-10-21 19:21:00,2
538,89,246,1,2017-10-23 02:45:05,2
539,860,216,1,2017-11-09 17:07:56,2
540,347,142,5,2017-10-27 15:58:13,2
541,8,436,3,2017-11-08 16:18:16,2
542,575,371,3,2017-10-26 01:27:23,2
543,702,516,1,2017-11-03 12:30:33,2
544,536,154,3,2017-10-28 03:46:53,2
545,554,311,1,2017-10-30 19:05:53,2
546,613,228,3,2017-11-13 17:51:02,2
547,661,318,5,2017-10-28 08:40:36,2
548,447,423,5,2017-11-13 13:23:53,2
549,527,266,2,2017-11-01 22:41:15,2
550,106,348,1,2017-11-09 19:48:47,2
551,288,463,3,2017-11-06 02:27:46,2
552,750,257,3,2017-11-10 04:55:07,2
553,265,273,4,2017-11-11 07:28:10,2
554,403,559,3,2017-10-27 05:08:12,2
555,582,309,2,2017-10-22 22:31:00,2
556,889,131,5,2017-10-27 15:43:54,2
557,410,349,1,2017-10-28 03:57:56,2
558,969,147,5,2017-10-25 01:19:20,2
559,838,199,2,2017-11-09 20:11:53,2
560,847,553,3,2017-11-04 19:35:10,2
561,940,116,2,2017-11-01 13:36:40,2
562,144,252,4,2017-11-10 06:43:13,2
563,220,401,2,2017-11-02 03:33:59,2
564,657,302,2,2017-10-30 22:42:15,2
565,356,576,4,2017-11-08 15:34:44,2
566,271,381,5,2017-11-07 20:43:36,2
567,596,386,3,2017-10-21 06:44:03,2
568,655,346,3,2017-11-16 02:26:31,2
569,381,568,4,2017-11-08 16:05:58,2
570,645,295,2,2017-11-01 10:13:06,2
571,45,280,1,2017-10-18 11:55:56,2
572,856,549,5,2017-10-25 19:11:16,2
573,522,492,4,2017-11-05 19:00:30,2
574,601,132,3,2017-11-08 13:55:25,2
575,317,191,4,2017-10-23 04:32:51,2
576,664,507,2,2017-10-19 01:26:25,2
577,158,501,2,2017-11-10 06:41:22,2
578,135,100,4,2017-11-19 13:27:18,2
579,824,495,1,2017-11-07 06:49:23,2
580,512,432,2,2017-10-28 08:34:32,2
581,71,509,3,2017-11-05 19:52:11,2
582,160,541,1,2017-10-26 20:17:14,2
583,553,394,4,2017-10-31 13:38:01,2
584,361,573,2,2017-10-20 14:40:15,2
585,19,109,5,2017-10-22 15:17:31,2
586,76,325,4,2017-10-21 21:36:50,2
587,234,459,1,2017-11-03 15:30:03,2
588,585,567,2,2017-11-06 04:47:05,2
589,371,263,1,2017-11-14 20:03:46,2
590,137,586,3,2017-11-14 16:38:58,2
591,188,243,2,2017-11-08 05:52:13,2
592,411,174,3,2017-11-10 09:20:29,2
593,325,520,3,2017-11-12 11:13:44,2
594,457,175,2,2017-10-24 03:09:02,2
595,576,220,1,2017-11-06 04:43:39,2
596,356,576,5,2017-11-08 21:47:27,2
597,188,243,5,2017-11-09 00:13:10,2
598,67,389,4,2017-10-31 21:51:28,2
599,383,252,2,2017-10-31 11:27:42,2
600,248,181,2,2017-10-27 13:34:10,2
601,421,129,4,2017-10-24 19:45:32,2
602,831,559,2,2017-10-19 16:43:28,2
603,701,542,5,2017-10-30 19:32:42,2
604,852,527,5,2017-10-19 15:12:36,2
605,613,228,3,2017-11-15 00:01:02,2
