Soldano 412B • Eminence Legend V12s,Redwirez,Redwirez,34,28,<none>
Soldano 412B • Eminence S12Xs,Redwirez,Redwirez,34,29,<none>
Vox AC30 • Vox Alnico Silvers,Redwirez,Redwirez,35,30,<none>
Vox AC30 • Vox-labeled Blues,Redwirez,Redwirez,35,31,<none>
AES_big_EV_4x12,AES V30 + EV,AES V30 + EV,NULL,32,<none>
AES_big_Vint30_4x12,AES V30 + EV,AES V30 + EV,NULL,1,<none>
AES_big_4x10,AES V30 + EV,AES V30 + EV,36,33,<none>
Allston 2x12,Allston 2x12,Allston 2x12,37,NULL,<none>
Allston 2x12,Allston 2x10,Allston 2x10,38,NULL,<none>
ML Zilla Cream ALN,Fractal,ML Bulb Zilla,41,38,<none>
ML Zilla Cream H,Fractal,ML Bulb Zilla,42,3,<none>
ML Zilla Cream M,Fractal,ML Bulb Zilla,41,39,<none>
ML Zilla Green M,Fractal,ML Bulb Zilla,43,6,<none>
ML Zilla K100 M,Fractal,ML Bulb Zilla,43,9,<none>
ML Zilla V30,Fractal,ML Bulb Zilla,42,1,<none>
